SampleMarker,Sample,Marker,Theta,Median,Mean,Max,MaxN,MinP
mel_10:B2M,mel_10,B2M,3.00352,1.49315,2.743471974133017,60.9059,3.0000000000000004,3.00704
mel_10:B7H3,mel_10,B7H3,12.003350000000001,18.8333,19.073255396053888,112.452,12.000000000000002,12.0067
mel_10:CD14,mel_10,CD14,12.0031,7.09756,10.126004029081592,131.822,12.000000000000002,12.0062
mel_10:CD163,mel_10,CD163,7.971954639204029,1.0468717314566676,3.1023650261442146,102.76994421706121,7.9374992784080565,8.00641
mel_10:CD20,mel_10,CD20,3.99691464223418,1.5433045121447881,1.6433882818809533,105.71167520653155,3.989849284468359,4.00398
mel_10:CD25,mel_10,CD25,2.9995269553505723,0.35978834442357527,0.5874971607506777,57.28268526422997,2.993243910701145,3.00581
mel_10:CD27,mel_10,CD27,11.0027,7.48913,8.153435968010719,176.145,11.000000000000002,11.0054
mel_10:CD3,mel_10,CD3,8.965496044171495,1.116275916801746,3.552405010668252,238.4078017358345,8.92079208834299,9.0102
mel_10:CD4,mel_10,CD4,13.254325823789236,4.838236313556955,6.02039199980531,77.3462,13.503351647578471,13.0053
mel_10:CD45,mel_10,CD45,14.00375,2.502262052358332,6.053301509881246,100.37501385745502,14,14.0075
mel_10:CD56,mel_10,CD56,9.001455,4.3962280435572545,4.7044051276350745,123.42882260266931,9.000000000000002,9.00291
mel_10:CD68,mel_10,CD68,11.002849999999999,2.57303,3.5473028780522133,151.964,11,11.0057
mel_10:CD8,mel_10,CD8,7.716074297493931,1.802080351331675,2.6160892162050735,78.34373786591098,8.426228594987862,7.005920000000001
mel_10:DAPI,mel_10,DAPI,28.5625,82.51755,85.9511812186289,251.437,0,28.5625
mel_10:FOXP3,mel_10,FOXP3,2.002905,0.591837,0.985046338440988,82.2857,2,2.00581
mel_10:ICOS,mel_10,ICOS,7.2535193445121955,2.39235138799166,2.9518112141285715,65.93129894386783,7.499998689024391,7.00704
mel_10:IDO1,mel_10,IDO1,4.002335,1.8581811857553274,2.0769497281140237,64.18,4,4.00467
mel_10:KI67,mel_10,KI67,8.003705,2.17143,4.445014152497013,222.848,8,8.00741
mel_10:LAG3,mel_10,LAG3,1.421562724589846,0.5223878566643612,0.6570930143880935,51.28731253472757,1.8387054491796917,1.00442
mel_10:MHCI,mel_10,MHCI,19.003149999999998,15.0781,18.316124435347685,155.373,19,19.0063
mel_10:MHCII,mel_10,MHCII,9.003425,0.542373,2.726646582012965,115.041,9,9.00685
mel_10:MRC1,mel_10,MRC1,6.991301613992082,1.4264704295328454,2.4159919984132108,125.42060079028126,6.976473227984165,7.00613
mel_10:PCK26,mel_10,PCK26,9.197714999999999,0.20338999999999996,0.3801948756924275,21.3133,8.96825,9.42718
mel_10:PD1,mel_10,PD1,1.317633506120986,0.5471698209852011,0.5888100469200271,39.660387691758245,1.6307670122419722,1.0045
mel_10:PDL1,mel_10,PDL1,1.0025,0.004201677833660842,0.061241813221733526,173.2244299743937,1,1.005
mel_10:S100B,mel_10,S100B,16.112526350794568,27.69448710498907,26.708946849731426,125.67883974823236,17.216252701589134,15.008800000000003
mel_10:SOX10,mel_10,SOX10,8.001895000000001,13.0714,11.886679254803173,112.316,8,8.00379
mel_10:TGM2,mel_10,TGM2,9.999367000392162,4.312979536753357,5.20022726829912,57.322815648925854,9.993334000784325,10.0054
mel_10:TIM3,mel_10,TIM3,9.002369999999999,6.55,8.198952294198747,156.961,9,9.00474
