Sample,CD14,CD163,CD20,CD3,CD4,CD45,CD56,CD68,CD8,FOXP3,PCK26,S100B,SOX10,Count,MarkerSig
mel_2,0,0,0,0,0,0,0,0,0,0,0,0,0,83064,
mel_2,0,0,0,0,0,0,0,NA,0,0,0,0,0,22193,"NA"
mel_2,0,0,0,0,0,0,0,0,0,0,0,1,0,16048,S100B
mel_2,0,0,0,0,0,0,0,0,0,0,0,1,1,12519,"S100B,SOX10"
mel_2,0,0,0,1,0,0,0,0,0,0,0,0,0,11853,CD3
mel_2,0,0,0,1,0,1,0,0,1,0,0,0,0,10923,"CD3,CD45,CD8"
mel_2,0,0,0,1,1,1,0,0,0,0,0,0,0,8561,"CD3,CD4,CD45"
mel_2,0,0,0,1,0,0,0,0,1,0,0,0,0,7410,"CD3,CD8"
mel_2,0,0,0,1,0,1,0,0,0,0,0,0,0,7166,"CD3,CD45"
mel_2,0,0,0,1,1,0,0,0,0,0,0,0,0,5819,"CD3,CD4"
mel_2,0,0,0,0,0,0,1,0,0,0,0,0,0,5643,CD56
mel_2,0,0,0,0,0,0,0,0,0,0,0,0,1,3816,SOX10
mel_2,0,0,0,0,0,1,0,0,0,0,0,0,0,3780,CD45
mel_2,0,0,0,1,0,0,0,NA,0,0,0,0,0,3350,"CD3,NA"
mel_2,0,1,0,0,0,0,0,0,0,0,0,0,0,3179,CD163
mel_2,0,0,0,0,0,0,0,NA,0,0,0,1,0,3068,"NA,S100B"
mel_2,0,0,0,0,0,0,0,NA,0,0,0,1,1,2682,"NA,S100B,SOX10"
mel_2,0,0,0,1,0,1,0,NA,1,0,0,0,0,2411,"CD3,CD45,NA,CD8"
mel_2,0,0,0,1,0,0,0,NA,1,0,0,0,0,2270,"CD3,NA,CD8"
mel_2,0,0,0,0,0,0,0,0,1,0,0,0,0,1966,CD8
mel_2,0,0,0,0,1,0,0,0,0,0,0,0,0,1582,CD4
mel_2,0,0,0,1,1,1,0,0,1,0,0,0,0,1442,"CD3,CD4,CD45,CD8"
mel_2,0,0,0,0,0,0,0,NA,0,0,0,0,1,1416,"NA,SOX10"
mel_2,0,0,0,1,0,1,0,NA,0,0,0,0,0,1349,"CD3,CD45,NA"
mel_2,0,0,0,0,0,0,1,NA,0,0,0,0,0,1314,"CD56,NA"
mel_2,0,0,0,1,1,1,0,NA,0,0,0,0,0,1274,"CD3,CD4,CD45,NA"
mel_2,0,0,0,1,1,0,0,NA,0,0,0,0,0,1203,"CD3,CD4,NA"
mel_2,0,0,0,0,0,0,0,0,0,1,0,0,0,1106,FOXP3
mel_2,0,0,0,0,0,0,0,1,0,0,0,0,0,1069,CD68
mel_2,0,1,0,0,0,0,0,NA,0,0,0,0,0,996,"CD163,NA"
mel_2,0,0,0,1,1,0,0,0,0,1,0,0,0,991,"CD3,CD4,FOXP3"
mel_2,1,0,0,0,0,0,0,NA,0,0,0,0,0,897,"CD14,NA"
mel_2,0,1,0,1,1,1,0,0,0,0,0,0,0,888,"CD163,CD3,CD4,CD45"
mel_2,1,0,0,0,0,0,0,0,0,0,0,0,0,881,CD14
mel_2,1,1,0,0,0,0,0,0,0,0,0,0,0,863,"CD14,CD163"
mel_2,0,0,0,1,0,0,0,0,0,0,0,1,0,860,"CD3,S100B"
mel_2,0,0,1,0,0,0,0,0,0,0,0,0,0,769,CD20
mel_2,0,0,0,1,0,0,0,0,0,1,0,0,0,754,"CD3,FOXP3"
mel_2,0,0,0,1,1,1,0,0,0,1,0,0,0,733,"CD3,CD4,CD45,FOXP3"
mel_2,0,0,0,0,0,1,0,NA,0,0,0,0,0,692,"CD45,NA"
mel_2,0,1,0,1,0,1,0,0,1,0,0,0,0,660,"CD163,CD3,CD45,CD8"
mel_2,0,0,0,0,0,1,0,0,1,0,0,0,0,656,"CD45,CD8"
mel_2,0,0,0,0,0,0,0,NA,1,0,0,0,0,637,"NA,CD8"
mel_2,0,0,0,0,0,0,1,0,0,0,0,1,0,589,"CD56,S100B"
mel_2,0,0,0,0,1,1,0,0,0,0,0,0,0,569,"CD4,CD45"
mel_2,0,0,0,1,0,1,0,0,0,0,0,1,0,552,"CD3,CD45,S100B"
mel_2,0,1,0,1,0,1,0,0,0,0,0,0,0,539,"CD163,CD3,CD45"
mel_2,1,0,0,1,0,1,0,0,1,0,0,0,0,524,"CD14,CD3,CD45,CD8"
mel_2,1,1,0,0,0,0,0,NA,0,0,0,0,0,471,"CD14,CD163,NA"
mel_2,0,0,0,0,0,0,0,0,0,1,0,1,0,463,"FOXP3,S100B"
mel_2,0,0,0,0,0,1,1,0,0,0,0,0,0,449,"CD45,CD56"
mel_2,0,0,0,1,0,1,0,0,1,0,0,1,0,418,"CD3,CD45,CD8,S100B"
mel_2,0,1,0,0,0,1,0,0,0,0,0,0,0,367,"CD163,CD45"
mel_2,0,0,0,0,0,1,0,0,0,0,0,1,0,363,"CD45,S100B"
mel_2,0,0,0,0,1,0,0,NA,0,0,0,0,0,322,"CD4,NA"
mel_2,1,1,0,1,0,1,0,0,1,0,0,0,0,293,"CD14,CD163,CD3,CD45,CD8"
mel_2,1,0,0,0,0,1,0,0,0,0,0,0,0,279,"CD14,CD45"
mel_2,1,0,0,1,0,1,0,NA,1,0,0,0,0,275,"CD14,CD3,CD45,NA,CD8"
mel_2,0,0,1,1,0,1,0,0,1,0,0,0,0,273,"CD20,CD3,CD45,CD8"
mel_2,0,1,0,1,0,0,0,0,0,0,0,0,0,270,"CD163,CD3"
mel_2,0,0,0,1,1,1,1,0,0,0,0,0,0,269,"CD3,CD4,CD45,CD56"
mel_2,1,0,0,1,1,1,0,0,0,0,0,0,0,259,"CD14,CD3,CD4,CD45"
mel_2,0,0,0,1,0,0,0,0,1,0,0,1,0,258,"CD3,CD8,S100B"
mel_2,1,1,0,1,1,1,0,0,0,0,0,0,0,257,"CD14,CD163,CD3,CD4,CD45"
mel_2,0,1,0,1,1,0,0,0,0,0,0,0,0,253,"CD163,CD3,CD4"
mel_2,0,0,0,1,0,1,0,0,0,1,0,0,0,246,"CD3,CD45,FOXP3"
