Sample,Batch,Dye,Panel1.Marker,Panel1.Compartment,Panel2.Marker,Panel2.Compartment,Panel3.Marker,Panel3.Compartment,Panel4.Marker,Panel4.Compartment,Panel5.Marker,Panel5.Compartment,Panel6.Marker,Panel6.Compartment
mel_10,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_10,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_10,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_10,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_10,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_10,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_10,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_10,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_11,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_11,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_11,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_11,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_11,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_11,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_11,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_11,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_12,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_12,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_12,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_12,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_12,1,Dye_5,FOXP3,Nucleus,TIM3,Cytoplasm,TGM2,"Cytoplasm,Nucleus",MHCI,Cytoplasm,NA,NA,NA,NA
mel_12,1,Dye_6,CD45,"Cytoplasm,Nucleus",CD56,"Cytoplasm,Nucleus",CD27,Cytoplasm,PDL1,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_12,1,Dye_7,CD20,"Cytoplasm,Nucleus",B7H3,Cytoplasm,CD68,Cytoplasm,ICOS,"Cytoplasm,Nucleus",NA,NA,NA,NA
mel_12,1,Dye_8,SOX10,Nucleus,IDO1,"Cytoplasm,Nucleus",S100B,"Cytoplasm,Nucleus",PCK26,Cytoplasm,NA,NA,NA,NA
mel_13,1,Dye_1,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,DAPI1,Nucleus,NA,NA,NA,NA
mel_13,1,Dye_2,CD3,"Cytoplasm,Nucleus",KI67,Nucleus,CD163,"Cytoplasm,Nucleus",MHCII,Cytoplasm,NA,NA,NA,NA
mel_13,1,Dye_3,CD4,"Cytoplasm,Nucleus",PD1,"Cytoplasm,Nucleus",CD14,Cytoplasm,B2M,Cytoplasm,NA,NA,NA,NA
mel_13,1,Dye_4,CD8,"Cytoplasm,Nucleus",LAG3-17B4,"Cytoplasm,Nucleus",MRC1,"Cytoplasm,Nucleus",CD25,"Cytoplasm,Nucleus",NA,NA,NA,NA
